Дата начисления;Группа услуг;Тип начисления;Артикул;Название товара;Количество;Цена продавца;Вознаграждение Ozon, %;Сумма итого, руб.
02.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;35%;-10,00 ₽
02.01.2026;Услуги доставки;Логистика;DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;35%;-99,64 ₽
02.01.2026;Продажи;Выручка;DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;0%;798,29 ₽
02.01.2026;Продажи;Программы партнёров;DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;0%;7,98 ₽
02.01.2026;Продажи;Баллы за скидки;DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;0%;470,73
02.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;35%;-446,95 ₽
02.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;35%;-20,00 ₽
02.01.2026;Услуги партнёров;Доставка до места выдачи;DU-02G;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ₽;35%;-6,58 ₽
02.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
02.01.2026;Услуги партнёров;Звёздные товары;DU-02G;Порох Храм неба 500 гр зеленый чай;1;0,00 ₽;0%;-6,39 ₽
04.01.2026;Услуги партнёров;Эквайринг;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;0,00 ₽;0%;-54,88 ₽
05.01.2026;Услуги партнёров;Эквайринг;DU-05C-1;Эрл грей зеленый 1 кг с бергамотом;1;0,00 ₽;0%;-39,38 ₽
06.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-10,00 ₽
06.01.2026;Услуги доставки;Логистика;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-98,00 ₽
06.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-20,00 ₽
06.01.2026;Услуги партнёров;Доставка до места выдачи;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-18,08 ₽
06.01.2026;Услуги доставки;Обработка отменённых и невостребованных товаров;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;0,00 ₽
06.01.2026;Услуги доставки;Обратная логистика;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-98,00 ₽
07.01.2026;Продвижение и реклама;Баллы за отзывы;;;0;0,00 ₽;0%;-219,60 ₽
08.01.2026;Услуги партнёров;Эквайринг;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;0,00 ₽;0%;-16,14 ₽
