Период: 01.01.2026-20.03.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
88782520-0111-1;02.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-10,00 ?
88782520-0111-1;02.01.2026;Услуги доставки;Логистика;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-99,64 ?
88782520-0111-1;02.01.2026;Продажи;Выручка;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;0%;;;798,29 ?
88782520-0111-1;02.01.2026;Продажи;Программы партнёров;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;0%;;;7,98 ?
88782520-0111-1;02.01.2026;Продажи;Баллы за скидки;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;0%;;;470,73
88782520-0111-1;02.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-446,95 ?
88782520-0111-1;02.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-20,00 ?
88782520-0111-1;02.01.2026;Услуги партнёров;Доставка до места выдачи;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;1 277,00 ?;23.12.2025;Ozon;FBS;35%;;;-6,58 ?
88782520-0111-1;02.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;23.12.2025;;;0%;;;-100,00 ?
88782520-0111-1;02.01.2026;Услуги партнёров;Звёздные товары;DU-02G;1433885370;Порох Храм неба 500 гр зеленый чай;1;0,00 ?;23.12.2025;Ozon;FBS;0%;;;-6,39 ?
